FRESNO MONTHLY RAINFALL BY YEAR,,,,,,,,,,,,,
1878-PRESENT,,,,,,,,,,,,,
Year,January,February,March ,April,May,June ,July ,August,September,October,November,December,Total
Norm,2.19,2.03,2.03,0.95,0.43,0.21,0.01,0.01,0.17,0.63,1.07,1.77,11.5
1878,3.2,1.78,1.91,0.78,T,0,0,0,0,0.2,0.56,0.22,8.65
1879,1.28,0.56,0.66,1.33,0.06,T,0,0,0,0.55,0.48,1.67,6.59
1880,0.46,2.54,0.61,1.97,0.15,0,0,0,0,0,0.44,3.05,9.22
1881,2.21,0.87,0.55,1,0.1,0,T,T,0.46,0.36,0.27,0.16,5.98
1882,0.42,1.04,1.26,1.23,0.1,0,0,0,0.34,0.05,0.73,0.7,5.87
1883,0,0.57,2.46,0.95,1.36,0,0,0,0,2,T,0.34,7.68
1884,2.29,3.18,2.81,2.85,1.11,1.19,0,0,0,0.35,0.08,3.98,17.84
1885,0.45,0,0.53,1.11,0.15,0,0,0,0,0.06,7.92,1.9,12.12
1886,2.38,0.58,1.21,2.57,0,0,0,0,0,0.47,0.7,0.34,8.25
1887,0.31,2.8,0.09,2.65,0.03,0.02,0,0,0.49,0.15,0.32,1.16,8.02
1888,1.75,0.13,1.95,0.22,0.56,T,T,T,0.06,0,2.38,1.71,8.76
1889,0.34,0.32,2.07,0.54,0.57,0,0,0,T,3.17,1.39,3.87,12.27
1890,2.12,0.8,1.04,0.17,0.45,0,0,T,1.26,0,0.22,2.3,8.36
1891,0.88,2.24,0.81,0.49,0.03,0.02,0,0,0.27,0,0.21,3.99,8.94
1892,0.48,1,1.69,0.79,1.44,0.06,0,0,T,0.34,0.39,2.56,8.75
1893,1.04,2.21,4.22,0.34,0,0,T,0,0.01,0.02,0.16,1.4,9.4
1894,2.27,2.02,0.29,0.1,1.16,1.16,T,T,0.75,0.37,0.27,4.09,12.48
1895,4.14,1.7,1.84,0.99,0.52,0,T,T,0.07,0.16,0.19,0.78,10.39
1896,2.89,0.06,1.21,2.82,0.02,0,0.07,0.15,0.06,1.28,1.46,1,11.02
1897,1.93,2.65,1.64,0.3,0,T,0,T,T,1.19,0.22,0.48,8.41
1898,0.42,1.15,0.71,0,0.79,0,0,0,1.12,0.03,0.34,0.43,4.99
1899,1.92,0.02,2.9,0.36,0.06,0.66,0,0,0,2.01,1.52,1.09,10.54
1900,1.52,0.08,0.88,1.21,1.97,T,T,0,0.16,0.33,4.61,0.33,11.09
1901,2.16,2.35,0.34,0.55,0.5,T,T,T,0.59,0.56,0.86,0.16,8.07
1902,0.41,2.44,1.14,0.7,0.01,T,0,T,0,0.42,2.25,0.54,7.91
1903,1.86,0.65,2.28,0.5,T,T,0,0,0,0,0.68,0.22,6.19
1904,0.57,2.49,2.75,1.21,0.12,0,0,0,1.78,3.21,0.08,1.12,13.33
1905,0.93,0.9,2.04,0.45,1.58,0,0,0,T,0,0.96,0.41,7.27
1906,2.05,2.2,4.12,0.92,2.88,T,T,0,T,0,0.73,3.16,16.06
1907,3.34,0.94,1.74,0.69,T,0.24,0,T,T,1.08,0,0.97,9
1908,1.78,1.75,0.71,0.8,0.63,0,0.01,0,0.15,0.02,0.66,0.57,7.08
1909,4.44,2.76,1.18,T,0,0.08,0,0,0,0.72,2.79,4.5,16.47
1910,1.22,0.21,1.28,0.27,T,T,T,0,1,0.45,0.24,0.21,4.88
1911,4.23,1.14,3.3,1.03,0.22,T,T,0,0.01,0.09,0.17,1.06,11.25
1912,0.72,T,3.02,1.86,0.41,T,T,0,0.1,0.01,0.85,0.35,7.32
1913,1.22,1.71,0.63,1.01,0.3,0.1,0.33,T,T,T,1.86,1.53,8.69
1914,4.94,1.31,0.25,0.59,T,0.23,T,T,0.22,0.26,0.11,1.76,9.67
1915,2.78,3.47,0.52,0.81,0.99,0,0,0,T,0,0.3,2.78,11.65
1916,5.17,1.67,1.81,0.02,T,0,T,0.08,0.38,1.16,0.28,1.93,12.5
1917,1.4,1.07,0.56,0.21,0.18,0,T,T,T,0,0.35,0.14,3.91
1918,0.47,4.59,4.19,T,0.51,0.01,T,0,0.53,0.11,1.81,1.46,13.68
1919,0.4,1.36,1.07,0.06,0.1,0,0,0,0.29,0.29,0.04,0.89,4.5
1920,0.69,1.54,3.98,0.49,0,0.03,0,0.15,T,0.84,0.99,1.07,9.78
1921,2.63,0.61,1.05,0.15,0.69,0.01,0,0,0.21,T,0.26,3.47,9.08
1922,2.46,2.19,1.53,0.1,0.49,0.12,T,T,0,0.52,0.62,2.2,10.23
1923,1.1,0.74,0.06,3.93,0.2,T,0,0,0.25,0.37,0.1,0.24,6.99
1924,0.54,0.31,2.89,0.54,T,0,0,T,0,0.64,0.73,1.61,7.26
1925,0.95,1.43,1.68,1.43,1.29,0.02,0.14,T,0,1.79,0.2,1.31,10.24
1926,0.96,0.99,0.01,3.9,0.03,0.04,0,T,0,0.3,2.61,0.58,9.42
1927,2.19,2.49,1.28,0.56,0.18,0.12,0,T,0.09,2.35,1.05,0.76,11.07
1928,0.08,0.81,1.32,0.29,T,0,0,0,0,T,1.57,1.47,5.54
1929,1.26,0.62,1.53,0.69,0.01,0.28,T,T,0.01,T,0,0.5,4.9
1930,1.9,1.89,1.38,0.45,0.29,0,T,T,0.2,0.18,0.88,0.01,7.18
1931,2.61,0.67,0.48,0.86,1.22,1.12,T,T,0.05,T,1.76,3.36,12.13
1932,1.87,1.09,0.83,0.22,0.4,0,0,0,T,0,0.3,0.98,5.69
1933,2.18,0.45,1.38,0.12,0.34,0.07,T,T,0,0.53,0,1.59,6.66
1934,0.43,1.8,T,T,0.03,0.05,0,0,0.01,1.74,2.22,1.89,8.17
1935,3.64,2.07,2.36,2.77,T,0,T,T,0.02,1.17,0.8,1.16,13.99
1936,0.68,4.7,1.36,0.54,0.04,0.01,T,T,0,2.55,T,3.11,12.99
1937,1.97,2.46,2.32,0.33,0,T,T,0,T,0.11,0.05,3,10.24
1938,2.14,3.98,5.19,1.32,0.01,0.05,T,0,0.13,0.69,0.1,1.47,15.08
1939,1.99,0.77,1.88,0.37,0.02,1.66,0,T,0.17,0.99,0.04,0.11,8
1940,5.89,3.22,0.92,0.16,T,T,0,0,0,0.55,0.05,5.24,16.03
1941,1.56,5.04,1.86,2.61,T,0.12,0,0.07,0,0.76,0.56,4.16,16.74
1942,1.34,0.67,1.09,1.32,0.27,0,T,T,0,T,0.84,1.44,6.97
1943,1.48,0.85,3.21,0.9,0,T,0,0,0,0.06,0.23,1.48,8.21
1944,0.95,2.6,0.17,1.13,0.29,0.02,0,0,0.01,0.89,1.37,1.45,8.88
1945,0.92,2.31,2.25,0.12,0.04,0.24,T,T,T,1.04,1.45,1.11,9.48
1946,0.28,1.4,2.01,0.03,1.02,0,0.02,0,0.14,0.73,1.94,1.95,9.52
1947,0.2,0.6,0.46,0.41,0.2,0.02,T,T,T,0.81,0.43,0.42,3.55
1948,T,0.77,2.28,2.28,0.96,0.01,0,0,0,0.08,0.02,1.23,7.63
1949,0.6,0.73,3.6,0.01,0.39,T,T,T,0,T,0.46,0.78,6.57
1950,3.01,1.84,1.84,0.82,0.05,0,0.02,T,0.13,1.19,1.85,1.6,12.35
1951,1.94,1.6,0.31,1.58,0.02,0.06,0,0,0,0.33,1.03,2.82,9.69
1952,3.59,0.53,3.57,2.07,T,0.01,T,0,0.09,0.02,1.61,4.05,15.54
1953,1.49,0.09,0.59,0.96,0.48,0.32,T,T,0,0.18,1.51,0.51,6.13
1954,1.8,1.13,2.9,0.48,0.09,0.29,T,0,0,0,1.32,1.82,9.83
1955,3.51,1.46,0.07,1.47,0.63,0,T,T,0,T,1.34,6.73,15.21
1956,2.41,0.65,0.08,1.38,0.81,0,T,0,T,1,0,0.31,6.64
1957,1.75,1.51,0.53,1.38,1.56,0.16,T,0,0.19,0.43,1.02,1.9,10.43
1958,2.03,4.11,5.79,2.71,0.79,0.02,0.02,0.01,0.46,T,0.21,0.32,16.47
1959,1.47,3.66,0.09,0.54,0.09,0,0,0.01,0.92,0,0,0.43,7.21
1960,2.08,2.37,0.67,1.5,0.02,0,T,0,0.02,0.09,2.75,0.07,9.57
1961,1.52,0.4,1.04,0.57,0.4,0.01,T,0.1,T,T,1.6,1.32,6.96
1962,1.12,5.97,1.04,0.02,0.2,T,T,0,T,0.73,0.03,0.48,9.59
1963,2.16,2.01,2.1,3.66,0.39,0.03,0,0.01,0.15,0.95,2.54,0.27,14.27
1964,0.66,T,1.27,0.5,0.35,0.06,T,0.25,0,1.23,1.49,2.63,8.44
1965,1.05,0.43,2.38,1.74,T,T,T,0.02,0,0.3,2.69,1.73,10.34
1966,0.53,0.54,0.01,0.15,0.1,0.07,0.03,0,0.03,0,1.57,3.04,6.07
1967,2.21,0.22,3.15,4.41,0.19,0.14,T,T,T,0.07,1.55,1.04,12.98
1968,1.05,1.1,1.49,0.7,0.24,0,T,T,0,1.54,1.94,2.44,10.5
1969,8.56,5.6,1.16,1.64,0.06,0.04,0.04,0,0.04,0.06,0.8,1.14,19.14
1970,3.83,1.27,1.65,0.21,0,0.08,T,0,0,0.01,2.3,2.51,11.86
1971,0.4,0.29,0.58,1.04,1.4,0,T,T,0.04,0.03,0.65,2.56,6.99
1972,0.37,0.67,0,0.27,0.15,0.6,T,0,0.29,0.22,3.5,1.4,7.47
1973,1.91,3.69,2.84,0.09,T,T,0,T,0,1.02,1.39,1.74,12.68
1974,2.82,0.25,2.56,0.64,0,0,T,T,0,1.44,0.34,1.26,9.31
1975,0.69,0.97,2.44,0.55,T,0,T,0.05,0.22,1.07,0.2,0.14,6.33
1976,0.04,4.72,0.44,0.93,T,0.37,0.01,0.21,1.19,1.55,0.87,0.71,11.04
1977,0.68,0.09,1.04,0.04,1.16,0.06,T,T,T,0.01,0.46,3.02,6.56
1978,3.16,4.41,4.25,2.85,0,0,T,T,1.05,0,1.34,0.62,17.68
1979,2.71,2.53,2.27,0.07,0.06,0,0.08,0,T,0.48,1.01,0.74,9.95
1980,3.83,3.3,2.05,0.25,0.18,T,0.01,0,0,0.03,0.14,0.49,10.28
1981,2.67,1.29,2.59,1.01,T,0,0,0,0,0.58,1.22,0.65,10.01
1982,2.11,0.58,4.76,0.89,0,0.31,0,T,1.1,1.58,3.16,1.59,16.08
1983,5.14,3.7,4.53,2.76,0.01,0,0,0.09,1.03,0.09,2.51,1.75,21.61
1984,0.15,1.05,0.48,0.25,0.02,0.2,T,T,0,0.7,1.94,1.98,6.77
1985,0.43,0.71,1.73,0.12,0,0.33,0.04,0.02,0.43,0.85,3.02,0.72,8.4
1986,2.12,3.66,3.42,0.36,0.16,0,T,0,0.38,0,0.01,2.3,12.41
1987,1.93,1.36,2.39,0.07,0.87,0.01,0,0,T,0.85,0.52,1.19,9.19
1988,1.52,0.83,0.27,2.41,0.45,0.03,0,0,0,0,1.42,2.46,9.39
1989,0.48,1.18,2.25,0.05,0.89,0,0,0.03,1.11,0.42,0.5,0,6.91
1990,2.82,1.33,0.67,0.92,1.65,0,T,0,0.15,0.05,0.46,0.68,8.73
1991,0.13,1.01,7.24,0.02,0.03,T,0,T,T,0.8,0.04,1.22,10.49
1992,1.94,4.73,2.14,0.18,T,T,0.22,T,T,2.19,T,2.68,14.08
1993,5.18,2.44,1.76,0.2,0.25,1.61,0,0,0,0.12,1.16,1.03,13.75
1994,1.15,1.92,0.52,1.36,1.3,0,T,0,0.2,0.77,1.57,1.33,10.12
1995,5.42,0.93,5.88,1.08,1.19,0.66,0.01,T,0,0,T,2.12,17.29
1996,2.07,3.57,1.52,1.17,0.38,0.08,T,0,0,1.97,1.94,4.27,16.97
1997,3.53,0.17,0.1,T,T,0.01,T,0,0.15,0.07,2.66,0.99,7.68
1998,3.4,4.89,3.44,1.26,1.37,1.93,0,0,0.15,0.16,0.43,0.62,17.65
1999,2.82,1.18,0.49,0.93,0.03,0.2,0,0.01,T,T,0.48,0.03,6.17
2000,3.15,6.12,1.35,1.16,0.05,0.56,0,T,0.32,2.45,0.01,0.07,15.24
2001,2.66,2.22,0.96,1.87,0,0,0.08,0,T,0.29,1.99,1.95,12.02
2002,0.76,0.4,0.95,0.21,0.38,0.02,0,0,T,0,1.78,2.25,6.75
2003,0.4,1.22,0.63,2.84,0.68,0,T,0.04,T,T,0.4,2.93,9.14
2004,0.88,1.69,1.54,0.03,0.07,0,0,0,0,2.45,0.81,3.16,10.63
2005,2.42,2.3,2.51,0.56,1.62,0.01,0,T,0.04,0.05,0.17,2,11.68
2006,3.4,0.54,4.73,3.27,0.36,0,T,0,0,0.08,0.23,1.33,13.94
2007,0.59,2.29,0.97,0.49,0.05,0,T,0.02,0.02,0.2,0.09,2.31,7.03
2008,3.32,2.12,0.02,T,0.3,0,0.01,0,0,0.23,1.37,1.09,8.46
2009,1.02,2.43,0.24,0.72,0.46,0.2,0,T,0.01,1.39,0.2,2.41,9.08
2010,2.05,2.94,0.96,2.19,0.21,0,T,0,0,0.44,1.8,5.92,16.51
2011,1.72,1.6,3.46,0.32,0.35,1.91,T,0,T,0.9,0.67,0,10.93
2012,1.38,0.75,2.43,2.02,0,T,T,T,0,0.25,1.11,2.03,9.97
2013,0.58,0.89,0.65,0.09,0.07,T,T,T,0.01,0.03,0.54,0.15,3.01
2014,0.57,2.11,0.62,0.74,0.04,0,0.01,T,0.18,0.5,0.4,2.29,7.46
2015,0.21,1.13,0.06,1.25,0.57,0.01,0.43,0,0.12,0.49,1.74,2.97,8.98
2016,4.42,0.33,2.93,1.06,0.29,0.06,0,0,0,0.67,1.38,2.51,13.65
2017,5.5,2.52,1.08,3.42,0.12,0,0,T,0.16,,,,12.8
