Fresno Average Temperature,,,,,,,,,,,,,
Year,January ,Febuary ,March ,April ,May,June ,July,August ,September,October,November,December,Annual 
1887,-,-,-,-,-,-,-,-,74.6,67.7,55.6,46,-
1888,44.1,53,53.6,66.1,68,73.4,81.7,83,80.7,66.5,54.3,48.2,64.4
1889,43.8,50.5,58.4,63.5,69.6,79.5,82.6,82.2,75.6,62.8,54.1,49.1,64.3
1890,42.3,47.2,54.6,61.2,69.4,73.4,82.5,80.8,74.6,64.5,56.9,43.8,62.6
1891,45.4,48.5,54.4,59,67.1,73,83.6,83.6,74.6,67,56.2,43.9,63
1892,48.5,53.2,55.6,57.6,67.2,72.8,79.4,81.4,73.6,63.9,56.4,47.4,63.1
1893,42.8,48.4,52.2,55.9,66.9,73.2,80.8,82,68.4,60.8,52.8,48.4,61
1894,43.8,46.8,53,62.2,67.7,68.9,82.7,82,74,64,58.6,47.6,62.6
1895,45.3,52.6,53.7,60,67.4,77.2,79.4,80.6,70.3,66.6,52.8,43.6,62.5
1896,50.6,53.4,56.3,54.7,63.9,78.6,85,79.8,72.6,66.7,53.2,49.5,63.7
1897,43.7,49.2,48.6,63.5,71.7,74.3,82.8,81.1,72.8,61.2,52,45.2,62.2
1898,41.7,53.8,52.8,65.4,65.2,77.2,83.9,81.6,72.8,64.6,52.5,45.2,63.1
1899,50,51.2,54.4,61.1,63.2,78.3,81.8,75.1,77.3,60.4,54.4,43.8,62.6
1900,46.7,51.4,59.2,58.3,68.4,77.3,82.4,75.2,69.5,62.6,57.5,45.2,62.8
1901,47.8,51.7,55.6,58.4,65.7,74.3,82,82.4,70.6,67.2,58.6,46.6,63.4
1902,43.2,52.6,52,59,64.4,78.2,80.4,78.4,76,64.3,51.3,46.9,62.2
1903,43.8,45.8,54.8,57.5,67.8,77.2,77.4,80.2,73.6,67.7,55.2,45.6,62.2
1904,44.6,52.4,54.4,60.2,71.4,78,79.8,82.8,75.2,63.4,55.6,46,63.6
1905,49.2,53.6,57.8,62.4,63.8,74.4,82.4,80,73,63.6,52.6,43,63
1906,48.8,55.2,54,58,63.4,71.6,86,82.2,74,66,51.4,47.4,63.2
1907,46.6,53.9,52.8,62.3,66,72,79.8,77.9,69.6,64.8,55.4,48.6,62.5
1908,47.8,49.4,56.3,64.1,63.6,72.8,86.5,81.5,74.5,62,55.6,41.3,62.9
1909,51.9,49.6,52.1,62.6,65.6,74.9,79.4,80.7,74.3,64,53.8,45.2,62.8
1910,44.4,49.1,59.8,65.2,71,73.8,83.2,81.6,73.5,66.8,54.9,48.9,64.4
1911,50.5,47.4,58.1,59,64,75.2,84,77.2,69.8,63.8,53.4,44.7,62.2
1912,48.5,53,53.2,56.8,67.5,75.2,79.8,77.7,73.2,61.6,55.2,45.5,62.3
1913,44.5,50.6,54.8,60.7,68.4,72,80.9,83,76.6,66.7,55.2,46.9,63.4
1914,50,52.2,58.9,60.8,68.8,73.6,80.5,80.3,71.6,64.6,57.4,44.7,63.6
1915,47.4,52.2,58.4,60,63,75,80.3,81.9,73,67.4,53.8,48.2,63.4
1916,45.5,54.9,57.4,62.4,64.2,73.2,79.5,78.2,73.2,59.8,51.2,45.4,62.1
1917,42.8,51.4,51.3,59.3,62.4,77,86,81.2,75.4,69.3,56.7,49.7,63.5
1918,46.4,51.4,56.4,61.8,63.8,82.5,79.9,79.2,72.5,66.7,52.8,45,63.2
1919,48.2,49.5,52.7,62.4,69.8,75.6,82.9,81.2,73.2,62,53,47.1,63.1
1920,48.2,52.2,52.7,59.4,68.2,74.9,79.4,81.5,72.2,60,54,47.5,62.5
1921,46.4,51.5,56.8,59.2,63.6,76,83.9,79.9,72.8,66.6,57,50.4,63.7
1922,41.7,49.6,52.6,57.4,68.6,76.5,83.8,79.1,79.1,64.2,51,49.8,62.8
1923,46.2,50.2,56.8,59.3,67.1,69.4,79.8,79,76.4,64,58.2,46.2,62.7
1924,46.7,56.4,54.4,62,72.6,77.4,80.5,79.8,75.2,61.9,55.1,45.5,64
1925,48,54.4,56.7,60.6,68.8,77,83.8,78.6,69.4,63.4,54.2,46.2,63.4
1926,43.2,54.2,60.9,66,70.5,80.4,83.6,80.4,71.6,66.8,60.9,46.6,65.4
1927,47.8,53.2,54.4,60.8,67.1,75.2,82.8,79,70,67,54.5,47.1,63.2
1928,46.6,52.4,59.4,61.4,72,75.6,81.3,80.6,75.6,64.7,54,44.1,64
1929,43,49.3,55.4,57.2,69.4,74.6,80.8,82,74.4,68.2,57.1,49.6,63.4
1930,46.4,55.8,57.2,63.2,63.2,76.6,81.6,78.8,69.6,64.6,55.9,46.6,63.3
1931,48.8,54.2,58.6,66.2,73.6,73.8,87.6,84.4,72.2,65.5,52.8,46.7,65.4
1932,44.6,50.7,58.4,60.2,68.9,76.9,80.4,79.6,77.8,66.1,60,43.2,63.9
1933,43,49,56.2,61,62.8,73.5,85.6,82.2,72.4,71.4,57.5,46.4,63.4
1934,46,54.4,63.8,67.6,71.3,73.2,81.8,81,76.6,66,55.5,47.5,65.4
1935,46.8,50.8,51.2,60.6,67.5,78.2,80.2,82.2,76.4,63.2,51.8,49.5,63.2
1936,50.5,51.6,58.1,63.6,70.7,76.5,84.8,83.1,76.4,67.6,56.4,45.8,65.4
1937,40.7,51,56.3,60.2,70.6,75.6,83.4,82.3,75.2,67.9,57,50.8,64.2
1938,46.6,52.4,52.4,60.8,69.4,77.6,82.4,80,76.8,64.6,53.6,49.4,63.8
1939,47,47.7,56.2,66.4,69.4,76.5,81.8,81,75.9,63.3,55.7,49.9,64.2
1940,48.8,52.8,57.6,63.1,72.2,80.4,80.4,80.2,71.3,65.1,51.8,51,64.6
1941,49.8,53.6,57.2,58.8,69.8,73.8,82.4,76.8,70.5,61,55,49,63.1
1942,47.3,49,54.4,59.8,65.4,75.8,83.4,80.4,72.4,65.4,52.6,45.9,62.6
1943,45.6,51.6,56.4,62.1,70.4,71.6,81,77.2,75.8,64.4,54,47.8,63.2
1944,46.8,48.6,54.8,58.2,69.6,72,80,78.8,75.2,66.4,51.4,47.4,62.4
1945,43.6,50.8,50.5,61,66.8,76,84.2,79.4,75.5,66.7,53.4,47.6,63
1946,44.4,49.3,54.8,64.4,68.5,74.6,82,81.1,74.7,61.6,50.6,45.6,62.6
1947,41,52.4,59,64.7,73,76.4,79,77.6,77,65.2,50.6,45.2,63.4
1948,51.2,49,53.2,59.8,65.2,75.8,80.2,78.8,73.8,65,52.9,44.4,62.4
1949,39.6,47.2,54.4,65.6,68.6,78.5,81.2,76.8,75.2,62.6,57.4,44.1,62.6
1950,42.7,51.5,53.4,62.9,68.4,72.8,82.4,79.3,72.2,65.9,58.2,50.9,63.4
1951,45.6,49.9,53.6,61,68.3,74.2,79.2,77.9,75,63.1,55.5,44.8,62.4
1952,45.2,49.9,50.1,60.9,69.6,69.1,81.7,79.1,75.5,68.2,52.6,46.9,62.4
1953,50.5,48.4,53.3,59.4,61.7,69.3,82.5,75.5,75.5,63.3,54.3,45.7,61.7
1954,46.7,49.6,51.8,63.9,69.7,71.7,81.4,74.5,71.2,63.7,52.4,43.7,61.7
1955,41.6,47.1,53.9,54.8,65.6,72.3,76.2,80.2,74.6,65,50.6,50.1,61
1956,48.2,45.5,53.8,59.6,66.9,74.3,79.7,76,74.4,61.5,53.2,44.5,61.4
1957,42.5,53.3,54.9,60.5,65.1,77.1,80.2,76.4,74.2,62.5,51.9,45.3,62
1958,46.4,53.7,51.8,59.1,69.9,72.7,79.5,83.3,75,69.2,54.4,49.6,63.7
1959,49,49.7,57.7,65.6,64.9,76.4,83.2,77.8,71.9,66.5,55,46.4,63.6
1960,46.9,49.5,56.8,60.1,66.1,80,82.9,78.5,75.2,63.1,51.6,43.7,62.9
1961,42.4,51.5,53.4,61.4,63.9,78.8,82.5,81.1,72.4,64.3,51.9,43.7,62.3
1962,41.4,48.3,52.1,64.8,65,75.9,80.9,78.8,74.7,64,55.2,47.4,62.4
1963,42.2,56.4,53.3,55.9,67.6,73.2,78.5,78.2,76.6,65.4,52.1,40,61.6
1964,43.8,47.4,51.3,58.8,64.9,73.3,81,78.9,71,68.3,51.2,49,61.6
1965,46.3,49.6,55.5,60.8,67.5,71.4,78.9,78.8,68.6,65.8,54.7,42,61.6
1966,43.4,47.2,56.3,65.5,70.9,76.3,78.2,81,72.8,64.8,56.9,45.2,63.2
1967,46.1,48.9,54.4,52.6,68.8,74.2,83.8,83.6,77.4,66,56.8,42.6,62.9
1968,44.8,55.8,55.8,61.5,68.1,78,82.4,77.2,73.7,63.3,51.9,43.3,63
1969,44.8,47.5,53.1,59.7,70.4,72.8,80.9,79.7,75.7,59.7,53.1,46.2,62
1970,49.1,52.7,55.3,57,70.8,76.5,83.3,79.9,73,63.4,55.4,46.3,63.5
1971,45.7,47.6,54.4,59.1,64.2,74.4,81.9,81.1,73.4,60.9,50.7,42.9,61.4
1972,40.6,52.5,60.7,61.1,69.9,77.5,81.5,79.7,71.8,62.6,50.2,40.9,62.4
1973,45.1,51.9,50.4,61.2,72.9,78.6,80.4,78.5,72,63.3,52.9,47.2,62.9
1974,47.9,49.1,56.3,60,69.5,77.7,81.3,79.3,77.5,66,53.1,44.5,63.5
1975,43.4,49.9,51.5,53.9,68.4,74.7,78.1,75.9,75.8,61.4,49.5,43.9,60.6
1976,44.3,49.6,52.4,57.2,69.7,72.9,79.4,72.7,72.2,65.1,53.4,46.5,61.3
1977,44.3,53.5,52.4,65.4,63.6,79.8,81.5,80.6,74,66.8,54.5,51.2,64
1978,51.4,52.6,60.3,58.9,69.9,76.3,82.4,81.4,73,70,52.1,42.8,64.3
1979,47,51.4,57.4,62.7,71.1,77.9,82.2,79.9,79.5,67.8,54,46.9,64.8
1980,49.4,53.8,53.7,61.8,67.2,73.7,84,80.7,75.6,68.4,54.2,46.8,64.1
1981,47.9,52,54.5,63.2,70.9,82.8,84.9,82.9,76.5,61.4,55.4,47.7,65
1982,41.7,50.5,51.4,58,69.3,72.9,81,80.4,72.3,65,51.1,45.4,61.6
1983,45.2,53.1,55.9,57.9,69.7,76.3,79,82.1,78.8,68.5,54.6,51.1,64.4
1984,47.8,50.7,58.4,60.8,74.8,77.5,87,83.5,81,62.4,53.6,46.5,65.3
1985,43.3,51.3,53.1,67.2,69.4,81.8,86,80.5,72.3,65,52.5,43.8,63.8
1986,53.6,55.7,60.3,62.7,71.2,79.4,81.9,84.2,71.3,66.9,56.7,47.5,66
1987,45.3,52.8,55.6,66.7,71.8,78.4,77,80.2,75.5,70.1,52.3,44.2,64.2
1988,46,52.2,56.8,61.6,67,75.6,85.5,81.2,76.4,68.7,54.3,44.5,64.2
1989,42.9,48.8,57.9,67.3,69.6,77,82.5,79.3,74.3,65.3,54.3,43.8,63.6
1990,45.5,48,57.3,65.7,68.1,76.8,84,80.6,75.8,67.7,52.9,41.5,63.7
1991,47,55.8,51.5,59.5,66.1,74.7,83.8,78.6,79.9,70.5,55.8,47,64.2
1992,42.7,55.5,58.8,66.8,76,77,81.3,83.2,77,68.6,54.3,45.3,65.5
1993,47.1,51.9,60.3,61.7,69.9,75.7,80.2,79.7,75.7,67.8,53.9,45.6,64.1
1994,46.9,49.9,59.3,63.2,68.5,77.7,83.3,82.3,75.3,64.7,48.1,45.3,63.7
1995,51.9,54.1,56.2,60.7,66.2,73.3,80.7,82.6,76.3,66.8,58.7,50.5,64.8
1996,48.3,54.2,57.2,63.6,69.9,77.8,85.4,83.4,74.8,64.1,53.9,49.1,65.1
1997,48.7,50.3,60,63.5,75.3,75.8,81.3,80.6,77.3,63.8,56.9,44.7,64.9
1998,49,50,55.5,59,62,71.5,82.1,84.1,75.8,63.1,53.1,42.8,62.3
1999,44.7,49.9,53.5,58.5,68,75.9,80.6,78.4,77.3,68.7,56.9,47,63.3
2000,50.2,53.8,56.5,64.2,71,79.8,78.8,81.2,74.5,63.9,49.2,47.8,64.2
2001,46.2,48.7,58.8,58.6,77.3,79.7,81.6,81.9,77,68.5,56.4,47.4,65.2
2002,45,52.2,55.1,62.8,69.6,78.1,84.1,80,77.1,65.2,56.2,49.3,64.6
2003,50.6,51.1,58.1,58.6,69.5,78.4,86.5,81.4,79.2,69.8,52.2,49.3,65.4
2004,46.5,50.5,62.6,65.8,70.9,77.4,83.3,81.3,75.9,64.1,51.7,46.5,64.7
2005,47.4,54.4,57.8,59.6,69.4,73.6,86.8,84,73.9,65.9,57.6,51,65.1
2006,48.7,52.4,50.1,59.7,71.9,80.7,87.9,80.2,75.8,64,55.4,47.1,64.5
2007,43.7,51.4,60.3,63,71.5,78,83.2,82.8,73.7,64.4,57.4,45.5,64.6
2008,47,51.1,57,61.7,70.3,79.1,83.8,84.1,78,67.1,57.5,44.9,65.1
2009,47.7,51.5,56,62,75.3,75.7,85,81.8,79.7,63.7,54.1,47.2,65
2010,48.6,52.2,55.5,57.7,65.2,77.6,83.1,79.9,76.9,68,53.8,50.9,64.1
2011,46.6,49.2,55.4,60.7,65.1,75,82,82.4,80.3,68,53.5,45.6,63.7
2012,49.3,52.7,56.2,63,72.3,77.8,83.4,86.5,81.3,69.1,58.3,50.8,66.7
2013,47.1,51,62.1,67.6,73,80.9,87.1,83,77.8,66.6,58.5,47.3,66.9
2014,53.2,56.8,62.4,66.8,74.2,80.9,86.9,84.4,80.7,72,57.7,51.9,69.1
2015,49,57,64,64.3,68.5,82,83.1,82.4,78.7,71.3,52,45.8,66.5
2016,50,55.5,,,,,,,,,,,
